timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748001663618,860,Ebay.pl main page,200,OK,Ebay.pl users 1-3,text,true,,340483,226,6,6,https://www.ebay.pl/,127,0,24
1748001663618,127,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-3,,true,,188,113,6,6,http://www.ebay.pl/,127,0,24
1748001663746,732,Ebay.pl main page-1,200,OK,Ebay.pl users 1-3,text,true,,340295,113,6,6,https://www.ebay.pl/,554,0,269
1748001663786,753,Ebay.pl main page,200,OK,Ebay.pl users 1-4,text,true,,340485,226,6,6,https://www.ebay.pl/,130,0,25
1748001663786,130,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-4,,true,,188,113,6,6,http://www.ebay.pl/,130,0,25
1748001663916,623,Ebay.pl main page-1,200,OK,Ebay.pl users 1-4,text,true,,340297,113,6,6,https://www.ebay.pl/,457,0,99
1748001663451,1131,Ebay.pl main page,200,OK,Ebay.pl users 1-2,text,true,,340067,226,6,6,https://www.ebay.pl/,144,0,70
1748001663451,144,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-2,,true,,188,113,6,6,http://www.ebay.pl/,144,0,70
1748001663596,986,Ebay.pl main page-1,200,OK,Ebay.pl users 1-2,text,true,,339879,113,6,6,https://www.ebay.pl/,752,0,419
1748001663421,1170,Ebay.pl main page,200,OK,Ebay.pl users 1-1,text,true,,340054,226,6,6,https://www.ebay.pl/,159,0,99
1748001663421,164,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-1,,true,,188,113,6,6,http://www.ebay.pl/,159,0,99
1748001663587,1004,Ebay.pl main page-1,200,OK,Ebay.pl users 1-1,text,true,,339866,113,6,6,https://www.ebay.pl/,824,0,428
1748001663951,839,Ebay.pl main page,200,OK,Ebay.pl users 1-5,text,true,,340482,226,6,6,https://www.ebay.pl/,81,0,25
1748001663951,81,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-5,,true,,188,113,6,6,http://www.ebay.pl/,81,0,25
1748001664033,757,Ebay.pl main page-1,200,OK,Ebay.pl users 1-5,text,true,,340294,113,6,6,https://www.ebay.pl/,519,0,63
1748001664117,839,Ebay.pl main page,200,OK,Ebay.pl users 1-6,text,true,,340051,226,6,6,https://www.ebay.pl/,238,0,25
1748001664117,238,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-6,,true,,188,113,6,6,http://www.ebay.pl/,238,0,25
1748001664355,601,Ebay.pl main page-1,200,OK,Ebay.pl users 1-6,text,true,,339863,113,6,6,https://www.ebay.pl/,446,0,63
